,track_id,track_name,artist_name,genre_id,genre_names,lyrics
0,126834098,Onoff,Eevee,"[34, 18]","['Music', 'Hip Hop/Rap']",
1,125921810,lily,Eevee,[18],['Hip Hop/Rap'],
2,169917164,Kailan Kaya Ako?,Kiara feat. Matthaios,"[34, 18]","['Music', 'Hip Hop/Rap']",
3,160904741,Ewan Ko Ba,ALLMO$T feat. Crakky,[18],['Hip Hop/Rap'],
4,177235378,Kahit Na,ALLMO$T feat. Roberto Bello,[18],['Hip Hop/Rap'],"Ayan na naman
Nakasimangot, tampo’y ‘di maiwasan
Pero kahit na, kahit na
Ilang ulit kang suyui’y ayos lang
At sinanay mong ganyan
Ang hirap mo na namang kausapin
Ayaw mong malapitan
Kanina pa ko nagsasalita
Ano bang gusto mong palabasin
Mas lalo mong sinusungitan
Kasi ako ayokong lumala
Parang ako na lang ang nag-aalala
Sa tuwing dumadating sa pagkakataon
Na para bang wala ng dahilan
Na ituloy pa tong tinawag mong pagmamahal
P***** ina nakakatanga na ‘di ko maramdaman kung pa’no pa
Natin malabasan kung nasanay ka ng ganyan
‘Di na ko masasabik pang muli sayong halik
Kung halaga ko ay ‘di mo na rin kayang maibalik
Ilang ulit na rin akong napagod, hindi ako sumuko
Sumugod pa rin kahit alam kong malulunod
Lang din naman ako sayong pag-ibig lang na ubod
Ng pait sa susunod ‘di na papayag mapaikot pang muli
Kung ayaw mo na ‘wag mo na sana pang patagalin
‘Di naman ako magtataka kung balak mo na rin namang gawin
Kung ayaw mo na ‘wag mo na sana pang patagalin dahil
Nasanay ka kasing ikaw na lang lagi ang tama
Nalimutan mo na kung pa’no ba ang magpakababa
Ayan na naman
Nakasimangot, tampo’y ‘di maiwasan
Pero kahit na, kahit na
Ilang ulit kang suyui’y ayos lang
At sinanay mong ganyan
Kahit ilang beses pa
Mag-away ‘di pa rin madadala
Sa galit mo ako’y nasanay na
‘Di pa rin makabitaw kahit nagsawa na
Eh kasi
‘Di mo na kailangan pang ipilit ako lang nahihirapan
Bakit nga ba ganito ang nararanasan
Kung kayang-kaya pa naman nating pag-usapan
Bakit ka nga ba nagkaganyan?
‘Di katulad noong nakaraan
Bawat trip ko sa iyo palagi mo na lang sinasakyan
Kaya kahit na
Kahit, kahit na
Kung gusto mo sumuko pwede mo na sya gawin ngayon hanggat maaga pa
Kung ayaw mo na
Kung ayaw mo na
Di kita pinipilit mapanatili pa
Manatili pa
Ayan na naman
Nakasimangot, tampo’y ‘di maiwasan
Pero kahit na, kahit na
Ilang ulit kang suyui’y ayos lang
At sinanay mong ganyan
Masaya naman na tayo
Wala na ‘kong hihilingin
‘Di ko man naisip lumayo sa tagal nating
Magkasama ni minsan hindi nabaling ang tingin
Gusto yung palaging sinusuyo ka sa bawat pagtatalo
Para lang tayo ay ‘di na ginawin
Habang tumatagal ay tila parang may nagbago
‘Di ko na kilala ang babaeng nasa salamin
Hindi na kita kilala
Sana ‘wag mo nang hayaan pa na lumala
Hindi porket kinukunsinti ka sa bawat
Pagkakamali ay hindi na binibigyan ng halaga
Ang masama pa yata dito ay naging ako
Masyadong hinayaan ang isang katulad mo
Na gawin ang lahat ng gusto hanggang
Hindi mo na makita kung ano ang halaga
At kung ano ako sa buhay mo
Bakit kailangan pa na mabalewala?
Ano ba ang nagawa kong masama?
Naging maayos naman ang pakikisama
Walang ibang hinangad para ganto ang magawa
Sabihin mo kung ‘di mo na ko kailangan
Para nga hindi ka na nahihirapan
Kusa na kong lalayo para pagdating sa huli
Ay ‘di ko na muli ito na pagsisihan
Ayan na naman
Nakasimangot, tampo’y ‘di maiwasan
Pero kahit na, kahit na
Ilang ulit kang suyui’y ayos lang
At sinanay mong ganyan
Ang gusto ko lang naman
Ay ang makita kang nakangiti
Pero bakit laging simangot ang iyong binabawi
Sa tuwing nilalambing ka
Kala ko ba ako ang nagmamay-ari
Ng puso mo pero bakit parang hindi
Nakakawalang gana
Parang ayoko ng umasa
Na matagal pa kitang makakasama kasi
Hindi naman magkakaganito kung hindi mo ako pinahirapan
Kaya mas pipiliin ko na lang din siguro na talikuran
Ang ipinangako natin sa isa’t isa
Kasi parang lahat din naman ay iyong binalewala
Kaya ‘wag kang magtataka
Kung wala na ko sa tabi mo sa susunod na magalit ka
Ayan na naman
Nakasimangot, tampo’y ‘di maiwasan
Pero kahit na, kahit na
Ilang ulit kang suyui’y ayos lang
Ayan na naman
Nakasimangot, tampo’y ‘di maiwasan
Pero kahit na, kahit na
Ilang ulit kang suyui’y ayos lang
Yeah"
5,160791308,Dressing Room,ALLMO$T feat. jom & crakky,[18],['Hip Hop/Rap'],"Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Siya na ba ang bago mo na iniirog?
Akala ko sanay na 'ko na binibiro
'Di mo man lang nagawang
Magpahinga matapos ang lahat
Ay tumawid agad sa kabilang ilog
Habang ako'y hindi mapakali sa'king pagkasawi
Ay naghanap ka kaagad ng mapapapangiti
O 'di kaya'y tatapal dyan sa'yong pangangati
Dahil alam ko na gano'n lang kadali
Sa, yo na kalimutan ang lahat
Tangina, kilala na kita
Kung magpalit ka ng damit ay paiba-iba
Dahil umpisa pa lang na maging tayong dalawa'y
Nakita ko na madali ka ngang maakit sa iba
Pero pilit pa kita na binabago
Habang ako'y paulit-ulit ginagago
Ano pa bang magagawa kung napamahal na ko sa iyo
Gulong gulo na ang mundo na umiikot lang sa'yo oh
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Sa'yo ay parang walang nangyare
Di ka man lang nakitaan ng kaba
Ngayon ikaw ay masaya sa piling ng iba mong iniibig
O sadya mo na kinakalantare
Ano ba talagang pumasok dyan sa isip mo
Kung bakit ba nagagawa mo 'to na maatim
Hindi ka ba tinatablan na kilabutan
Sa ginagawa at binabalak mo parin na maitim
Kahit na gano'n ay minahal naman kita
Binuhos ang lahat kahit wala nang matira
Hinayaan kong madurog at maging abo nalang siguro
Ang damdamin ko sa'yo nang 'di ko madama
Kung papano ang sakit na lagi mong hinahangad
Makuha sa iba't ginagawa mong laruan
Lahat ng nahuhulog sa iyo'y hinahayaan mo nalang
Nang sa ganon ay maiwanang talunan
Gusto kitang tulungan ayokong mangulungan
Ka nalang at mahumaling nang lubusan
Tandaan mo na hindi ka din mauubusan
Kung sakaling gusto mo na mabakuran
Kaso lang ay kung ayaw mong padaig
Di na kita pipilitin pa na makinig
Ayoko na sukuan pa kita kaso kung gano, n ay
Di malabo na makita nalang kita sa sahig
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa"
6,155039581,Dalaga (Stripped),ALLMO$T,[18],['Hip Hop/Rap'],"Baby wag ka ng mag-alinlangan pa
Alam mo naman talaga na kailangan ka
Ang katulad mo ay matagal kong hinahanap at
Gusto kong makita, yeah
Gusto kong makita
Isang dalagang pilipina, yeah
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina

Woah baby!
Nais kong makita
Yung dalagitang pilipina
Nakilala ko noon
Sa social media
Nakakait siya
Kaya sa kaniya nalang
Nag-padala
Parang sa agos ng dagat pag nakahiga
Wag ka mag aalala
Baby mamimiss kita
Malayo ka man, sa aking tabi
Nag paalam ng bibig sa bibig
Balak kong hihintayin
Ang muli mong pag babalik
Dalawang buwan ang pag kalayo natin
Baby mag ingat ka dyan sa atin
Saakin balik
Yakap at halik ay babawiin natin

Baby wag ka ng mag-alinlangan pa
Alam mo naman talaga na kailangan ka
Ang katulad mo ay matagal kong hinahanap at
Gusto kong makita, yeah
Gusto kong makita
Isang dalagang pilipina, yeah
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina

San ka nga ba
Madalas nagpupunta ng ika'y mahanap
Malay mo ay makita kita
Sakali man ay makausap
Man lang kita kahit isang saglit
Pagbigyan mo sana kong mapalapit
Sa iyong loob ako'y makadikit
O makagaanan mo sa pangungulit
Siguro naman ngayon legal kana
Wala na satin ang babawal
Pwede na tayong umalis dalawa
Ng di nagtatago kung nasan
Dahil kung saan saan nako napunta
Ni wala kong makita na kagaya
Ng iyong gamit na kagandahan
Alam ko na sayo lamang ako liligaya

Baby wag ka ng mag-alinlangan pa
Alam mo naman talaga na kailangan ka
Ang katulad mo ay matagal kong hinahanap at
Gusto kong makita, yeah
Gusto kong makita
Isang dalagang pilipina, yeah
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina

Matagal kong hinanap ang isang
Dalagang sa aking magpapasaya
Hindi papayagang mawalay pa sakin
Kapag ika'y aking natagpuan na
YAH!
Walang hinangad kundi makatabi
Susulitin lahat handang magpagabi
Ikaw ang rason sa aking pananabik
Sana ay pagbigyan mo na makahalik
Kapag dumating ka ay laking tuwa
Ikaw ang sagot sa mga bakit?
Wag na tayong magpahuling dalawa
Alam mo naman na sa tabi mo ay langit
Dahil kathang isip lang kaya nawawala
Sana ay bukas paggising ay kasama na kita
YEAH!

Baby wag ka ng mag-alinlangan pa
Alam mo naman talaga na kailangan ka
Ang katulad mo ay matagal kong hinahanap at
Gusto kong makita, yeah
Gusto kong makita
Isang dalagang pilipina, yeah
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina

May nakita akong isang babae
Di ko malimutan ang kaniyang imahe
Ano ba ang iyong pangalan
Noong nakita kita
Ako'y di mapakale
Gustong mahawakan ang iyong mga kamay
Hanggang ngayon hindi mapalagay
Sana ikaw ay maka sabay
At ng malaman ko ang pangalan mo
At ng ikaw ay makilala ko

Baby wag ka ng mag-alinlangan pa
Alam mo naman talaga na kailangan ka
Ang katulad mo ay matagal kong hinahanap at
Gusto kong makita, yeah
Gusto kong makita
Isang dalagang pilipina, yeah
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina
Dalagang pilipina, yeah
Isang dalagang pilipina"
7,157573520,Rubberband,ALLMO$T feat. FTD,"[15, 18]","['R&B/Soul', 'Hip Hop/Rap']","'Di ba sabi mo noon
Walang bibitaw saating dalawa
Pinangako mo pa yun
Ako lang talaga’t walang iba
Walang iba, sumagot ka naman
Gusto ko lang naman maintindihan
Kung ano talagang na-isipan
Please lang, gumawa ka ng paraan
Para ako’y makita, para ako’y matikman
Alam mo ba miss na miss na kita
Baby, halika na
Sobrang lungkot na talaga
'Pag wala ka dito sa tabi ko
Lalo na pag napaisip pa sa’yo
Wala nang magawa kung 'di tumulog nalang
Para ikaw ang mapanaginipan ko
Ikaw ang nasa puso’t isipan ko
At panalangin na habang buhay na 'to

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran

Bakit nga ba hinayaan
Natin to na mawala
Ano nga ba ang mga rason na sa atin nagdala
Na tapusin ng maaga ang ating nasimulan
Hindi na natin maibabalik
Mga panahon na dating tayo   ay sabik
Dahilan kung bakit tila nawalan na ng gana
Magbigay ng pagpapahalaga at umibig pang ulit
YAH!!
Sabihin mo sakin ano ang problema kung bat naririto
Hindi yung babalik ka lamang kung kailan mo lamang gusto
Handa naman akong magsilbing balikat kapag malungkot
Pero asahan mo na di na ko babalik, at yan ang totoo

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran

Nandyan ka nanaman
Tukso ang dala dala
Ano ba ang 'yong kailangan
Walang ibang matakbuhan
O wala ka lang mahanap
Na tunay na magmamahal
Sa katulad mo
Kundi ako lang
Pero...
Hanggang ngayon ay sariwa parin
Ang mga ala-ala, na iyong iniwan
Di basta matalikuran madalas
Balik tanawin, ganon ka parin
Walang pinagkaiba sa dati 'nung ikaw ay makilala
Mga oras na kasama kita ay maligaya
Ako'y nagsunod-sunuran
Ngunit ang 'yong balak
Lang pala nung umpisa pa lamang ako ay utuin
Ako naman si tanga
Na umaasang kaya mo rin akong mahalin
Ang galing mo rin, dahil alam mo na di kita matitis
Kaya di ko na ninais na muling mapalapit
Kaya Kung pwede ba ay lumayo ka sandali
Isipin ko muna kung puso ba ay sususndin
Sapagkat akoy dala na pagod na kakaluha
Sa bangungot mong dala ay matagal nang nagising

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran

Paligid ay palaging masyadong malamig
Itong pagibig natin aminadong nasaid
Kahit pa pilitin nating tumawid
Alam ko na wala rin namang makikinig
Kapag ka sumasagi ay nakakasabik
Muli na maranasan ulit na makilig
Kaso mukang malabo na yatang bumalik
Kung ating napamuka na isarado ang bibig
Bintana'y binuksan at idinungaw ang mata
Nakita kita na ikaw din ay nagiisa
Ako ay bumaba na para makausap kita
Kahit na pano'y lumuwag ang paghinga
Hindi talaga natin gustong magkaganito
Alam ko naman na ayaw mo narin ng gulo
Kaso sa totoo lang kasi ay aminado
Ako na hindi na din kita kaya na masalo

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran"
8,178128001,Wag Na Sana,ALLMO$T feat. Peso Mercado,[18],['Hip Hop/Rap'],"Basta ikaw ang aking makasama
Handa ‘kong ibigay lahat akong bahala
Ipapangako mo lang sa akin
Hindi na sana maulit
Ang pagtanim ng iyong galit
Baby kasi naman hindi ko na alam
Matapos kang bigyan bukas magtatampo ka na naman
Kaya ‘wag sanang maulit ‘yang pagsimangot mo sa 'kin
Hindi ‘yan bagay sa atin, pag-usapan na lang natin
Hindi naman sa ako’y nagsasawa
Lalayo nang wala lang sana’y iyong unawaan
Ayoko lang tayo mahirapan
Puso ay masugatan, tumagal tayo sana

‘Di ba ikaw din ang nagsabing
‘Wag nang pahabain
Kung pwede naman nating pag-usapan na lang
Wala ring mangyayari
Uulit lang sa dati
Patuloy lamang tayong magkakalabuan
Pareho lang din natin ayaw ‘yan
Kaya ‘wag nating simulan
Hindi na, hindi na
‘Wag na sana
Hindi na, hindi na
Wohohowow!

'Di natin maiwasang magkatampuhan sa
Mga maliit na bagay away kaagad ‘pag pinahaba pa
Parang kanina lang ay nag-uusap
‘Di ko mahagilap kung bakit para bang napakahirap
Natin mag-ayos kahit na
Alam ko na kung sa’n pupunta
Pareho lang naman nating ayaw mawala ang isa’t-isa
Masyado lang tayo sigurong
Nagpapaapekto kaya ‘pag nadadala
Ay 'di natin mapigilan ang galit kaya ‘pag nagtalo sarado palagi ang isip
Hey, ‘wag kang magalit baby lika na
Hey, lambing mo lang sa ‘kin ay ayos na
Hey, mag-away 'di ko magagawa
Ang iwan ka na lang nang mag-isa basta

‘Di ba ikaw din ang nagsabing
‘Wag nang pahabain
Kung pwede naman nating pag-usapan na lang
Wala ring mangyayari
Uulit lang sa dati
Patuloy lamang tayong magkakalabuan
Pareho lang din natin ayaw ‘yan
Kaya ‘wag nating simulan
Hindi na, hindi na
‘Wag na sana
Hindi na, hindi na
Wohohowow!

Tuwing tayo’y nagtatalo ay ‘di malaman
Kung pa’no ba nagsimula ang pinag-awayan
Mga bagay na ‘di natin inaasahan
Na dumating sapagkat tayo ay nagmamahalan
Porket ‘di nakareply
Ay agad magtatampo
Alam mo namang
Ikaw lamang ang sa ‘kin pinagtagpo
Yuh!
Hindi na ‘ko maghahanap pa ng iba
Sana ‘wag mo nang pag-isipan pa ako ng masama
Dahil alam mo namang ika’y wala nang katapat
'Di ka pwedeng kumpara ibang klase ka sa lahat
Kung pa’no kita nakilala sana ay hindi magbago
Totoo ako sa ‘yo, pangakong hindi maglalaho
Yuh!

‘Di ba ikaw din ang nagsabing
‘Wag nang pahabain
Kung pwede naman nating pag-usapan na lang
Wala ring mangyayari
Uulit lang sa dati
Patuloy lamang tayong magkakalabuan
Pareho lang din natin ayaw ‘yan
Kaya ‘wag nating simulan
Hindi na, hindi na
‘Wag na sana
Hindi na, hindi na
Wohohowow!

Dalawang mundo'y nagtagpo
Puso ay nagkasundo
Tampo'y makikigulo
Kahit 'di natin gusto
Kung pwede ko lang ibalik ang lahat ng mga binitawan ko
Para lang gumaan ang puso't mawala ang pagtatampo
Sana ikaw na lang ang makasama
Makausap makayakap hanggang umaga
'Di na ‘ko umaasa na lalala pa
Tayo lang magsasama gabi hanggang umaga
Ikaw lang ikaw
Ang pinakamagandaang dalaga
Kamay mo lang gustong mahawakan
Bigyan mo naman ng tsansa kasi nga

‘Di ba ikaw din ang nagsabing
‘Wag nang pahabain
Kung pwede naman nating pag-usapan na lang
Wala ring mangyayari
Uulit lang sa dati
Patuloy lamang tayong magkakalabuan
Pareho lang din natin ayaw ‘yan
Kaya ‘wag nating simulan
Hindi na, hindi na
‘Wag na sana
Hindi na, hindi na
Wohohowow!

Hindi ka ba napapagod
Kasi paulit-ulit na tayong nagtatampuhan
Bakit di maiwasan
Palagi na lang ganyan
Pwede bang
Bawasan natin ang
Mga away dahil
Baka ito pa ay lumala
Kasi alam
Alam mo bang hirap na hirap ako
Lalo kapag sinusungitan mo
‘Wag mo na kasing
Idaan sa galit
At sana ‘wag mong ipagpalit
Kasi kahit na paulit-ulit kang masungit sa ‘kin
Puso ko'y sa ‘yo pa rin

‘Di ba ikaw din ang nagsabing
‘Wag nang pahabain
Kung pwede naman nating pag-usapan na lang
Wala ring mangyayari
Uulit lang sa dati
Patuloy lamang tayong magkakalabuan
Pareho lang din natin ayaw ‘yan
Kaya ‘wag nating simulan
Hindi na, hindi na
‘Wag na sana
Hindi na, hindi na
Wohohowow!"
9,160149590,Dressing Room,ALLMO$T,[18],['Hip Hop/Rap'],"Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Siya na ba ang bago mo na iniirog?
Akala ko sanay na 'ko na binibiro
'Di mo man lang nagawang
Magpahinga matapos ang lahat
Ay tumawid agad sa kabilang ilog
Habang ako'y hindi mapakali sa'king pagkasawi
Ay naghanap ka kaagad ng mapapapangiti
O 'di kaya'y tatapal dyan sa'yong pangangati
Dahil alam ko na gano'n lang kadali
Sa, yo na kalimutan ang lahat
Tangina, kilala na kita
Kung magpalit ka ng damit ay paiba-iba
Dahil umpisa pa lang na maging tayong dalawa'y
Nakita ko na madali ka ngang maakit sa iba
Pero pilit pa kita na binabago
Habang ako'y paulit-ulit ginagago
Ano pa bang magagawa kung napamahal na ko sa iyo
Gulong gulo na ang mundo na umiikot lang sa'yo oh
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Sa'yo ay parang walang nangyare
Di ka man lang nakitaan ng kaba
Ngayon ikaw ay masaya sa piling ng iba mong iniibig
O sadya mo na kinakalantare
Ano ba talagang pumasok dyan sa isip mo
Kung bakit ba nagagawa mo 'to na maatim
Hindi ka ba tinatablan na kilabutan
Sa ginagawa at binabalak mo parin na maitim
Kahit na gano'n ay minahal naman kita
Binuhos ang lahat kahit wala nang matira
Hinayaan kong madurog at maging abo nalang siguro
Ang damdamin ko sa'yo nang 'di ko madama
Kung papano ang sakit na lagi mong hinahangad
Makuha sa iba't ginagawa mong laruan
Lahat ng nahuhulog sa iyo'y hinahayaan mo nalang
Nang sa ganon ay maiwanang talunan
Gusto kitang tulungan ayokong mangulungan
Ka nalang at mahumaling nang lubusan
Tandaan mo na hindi ka din mauubusan
Kung sakaling gusto mo na mabakuran
Kaso lang ay kung ayaw mong padaig
Di na kita pipilitin pa na makinig
Ayoko na sukuan pa kita kaso kung gano, n ay
Di malabo na makita nalang kita sa sahig
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa
Oh bakit, bakit, bakit
Ang bilis mo na maakit
Ang bilis mong magpakapit
Ilang oras palang kitang kasama
May lakad na namang iba
'Di ka ba marunong makuntento sa isa"
